  Node  id  | Distance | Name
 1117810958 | 40025.93 | Autopista Pau Casals
 1117811120 | 40074.00 | Autopista Pau Casals
  384344922 | 40120.59 | Autopista Pau Casals
 1117811168 | 40153.65 | Autopista Pau Casals
 1117811155 | 40185.52 | Autopista Pau Casals
 1117810947 | 40214.29 | Autopista Pau Casals
  279746505 | 40243.69 | Autopista Pau Casals
 1117811031 | 40279.54 | Autopista Pau Casals
 1117811175 | 40314.91 | Autopista Pau Casals
 1117811239 | 40352.07 | Autopista Pau Casals
 1117810968 | 40389.66 | Autopista Pau Casals
 1117810850 | 40436.37 | Autopista Pau Casals
 1117811270 | 40480.09 | Autopista Pau Casals
 1117811174 | 40523.03 | Autopista Pau Casals
 1117810871 | 40570.25 | Autopista Pau Casals
  384344921 | 40615.48 | Autopista Pau Casals
  279746506 | 40638.82 | Autopista Pau Casals
  384344918 | 40683.39 | Autopista Pau Casals
 1117811125 | 40789.29 | Autopista Pau Casals
  279746507 | 40896.13 | Autopista Pau Casals
 1117810970 | 40947.11 | Autopista Pau Casals
 1117810919 | 40998.71 | Autopista Pau Casals
 1117810880 | 41051.79 | Autopista Pau Casals
  384344915 | 41098.60 | Autopista Pau Casals
 1117811149 | 41188.43 | Autopista Pau Casals
 1117810891 | 41240.14 | Autopista Pau Casals
  384344912 | 41285.34 | Autopista Pau Casals
 1117810829 | 41347.88 | Autopista Pau Casals
 1117811151 | 41411.09 | Autopista Pau Casals
 1117811051 | 41473.13 | Autopista Pau Casals
  384344911 | 41539.52 | Autopista Pau Casals
 1402744851 | 41598.13 | Autopista Pau Casals
 1402744849 | 41656.84 | Autopista Pau Casals
 1402744846 | 41715.57 | Autopista Pau Casals
  279746508 | 41774.35 | Autopista Pau Casals
 1402744824 | 41872.16 | Autopista Pau Casals
  279746509 | 41952.00 | Autopista Pau Casals
  279746510 | 41966.93 | Autopista Pau Casals
 1402744813 | 42011.23 | 
 1402744806 | 42080.34 | 
 1402744800 | 42152.52 | 
 1402744790 | 42196.57 | 
 1402744783 | 42240.93 | 
